Country;year;ppm
Uzbekistan;1975;38245
Venezuela;1975;65159
Vietnam;1975;18558
Western Sahara;1975;103
Yemen;1975;2095
Zambia;1975;4728
Zimbabwe;1975;8897
Afghanistan;1976;898
Albania;1976;5419
Algeria;1976;41740
American Samoa;1976;7
Angola;1976;8545
Argentina;1976;96277
Armenia;1976;9418
Aruba;1976;118
Australia;1976;193508
Austria;1976;61370
Azerbaijan;1976;32273
Bahamas;1976;3749
Bahrain;1976;6009
Bangladesh;1976;5316
Barbados;1976;655
Belarus;1976;95422
Belgium;1976;137586
Belize;1976;163
Benin;1976;375
Bhutan;1976;55
Bolivia;1976;4622
Botswana;1976;816
Brazil;1976;167862
Bulgaria;1976;77783
Burkina Faso;1976;301
Burundi;1976;113
Cambodia;1976;59
Cameroon;1976;1653
Canada;1976;410761
Cape Verde;1976;166
Cayman Islands;1976;76
Central African Republic;1976;169
Chad;1976;131
Chile;1976;24155
China;1976;1273171
Colombia;1976;36504
Comoros;1976;29
Congo;1976;2859
Costa Rica;1976;2036
Croatia;1976;21738
Cuba;1976;29100
Cyprus;1976;2656
Czech Republic;1976;178130
Denmark;1976;60911
Djibouti;1976;1003
Dominica;1976;28
Dominican Republic;1976;5763
Ecuador;1976;8226
Egypt;1976;39285
El Salvador;1976;2355
Equatorial Guinea;1976;40
Eritrea;1976;164
Estonia;1976;51374
Ethiopia;1976;891
Fiji;1976;594
Finland;1976;51875
France;1976;515557
French Guiana;1976;314
French Polynesia;1976;143
Gabon;1976;4304
Gambia;1976;102
Georgia;1976;44039
Germany;1976;1119143
Ghana;1976;2976
Greece;1976;45668
Greenland;1976;2
Grenada;1976;36
Guadeloupe;1976;431
Guam;1976;6
Guatemala;1976;3279
Guinea;1976;673
Guyana;1976;1327
Haiti;1976;808
Honduras;1976;1554
Hong Kong;1976;13115
Hungary;1976;82587
Iceland;1976;2411
India;1976;294319
Indonesia;1976;50712
Iran;1976;144289
Iraq;1976;47432
Ireland;1976;23489
Israel;1976;18037
Italy;1976;378914
Jamaica;1976;6497
Japan;1976;967608
Jordan;1976;2899
Kazakhstan;1976;127041
Kenya;1976;5557
Kiribati;1976;7
Kuwait;1976;32206
Kyrgyzstan;1976;10199
Latvia;1976;41805
Lebanon;1976;6326
Lesotho;1976;106
Liberia;1976;1312
Lithuania;1976;97872
Luxembourg;1976;14326
Madagascar;1976;830
Malawi;1976;403
Malaysia;1976;20872
Mali;1976;288
Malta;1976;772
Martinique;1976;619
Mauritania;1976;449
Mauritius;1976;491
Mexico;1976;173150
Mongolia;1976;1554
Montserrat;1976;14
Morocco;1976;11858
Mozambique;1976;2622
Namibia;1976;354
Nepal;1976;341
Netherlands;1976;152438
New Caledonia;1976;1543
New Zealand;1976;20159
Nicaragua;1976;2304
Niger;1976;374
Nigeria;1976;56192
Norway;1976;38827
Oman;1976;25772
Pakistan;1976;22635
Panama;1976;3352
Papua New Guinea;1976;1281
Paraguay;1976;926
Peru;1976;21386
Philippines;1976;32221
Poland;1976;411423
Portugal;1976;23166
Puerto Rico;1976;772
Qatar;1976;11002
Reunion;1976;399
Romania;1976;172417
Russia;1976;1908551
Rwanda;1976;101
Samoa;1976;36
Saudi Arabia;1976;103141
Senegal;1976;1902
Seychelles;1976;146
Sierra Leone;1976;478
Singapore;1976;10193
Slovakia;1976;48624
Slovenia;1976;10210
Solomon Islands;1976;43
Somalia;1976;609
South Africa;1976;250249
Spain;1976;198718
Sri Lanka;1976;3050
Sudan;1976;3411
Suriname;1976;2030
Swaziland;1976;447
Sweden;1976;91942
Switzerland;1976;41813
Taiwan;1976;56887
Tajikistan;1976;2285
Tanzania;1976;1569
Thailand;1976;27998
Togo;1976;350
Tonga;1976;17
Tunisia;1976;5750
Turkey;1976;77898
Turkmenistan;1976;11791
Uganda;1976;484
Ukraine;1976;515698
United Arab Emirates;1976;43182
United Kingdom;1976;624303
United States;1976;4823293
Uruguay;1976;5882
Uzbekistan;1976;42783
Venezuela;1976;69487
Vietnam;1976;13595
Western Sahara;1976;106
Yemen;1976;2556
Zambia;1976;4718
Zimbabwe;1976;9809
Afghanistan;1977;1466
Albania;1977;5725
Algeria;1977;45957
American Samoa;1977;7
Angola;1977;9216
Argentina;1977;99976
Armenia;1977;9882
Aruba;1977;121
Australia;1977;206696
Austria;1977;58666
Azerbaijan;1977;33724
Bahamas;1977;4078
Bahrain;1977;6628
